Lockheed Martin,,,,Electric Boat Company,,,Lockheed Martin,,,Boeing,,,Raytheon,,,RTX,,,Humana,
State,Obligation,,,State ,Obligation,,State,Obligation,,State,Obligation,,State,Obligation,,State ,Obligation,,State,Obligation
Texas,"$39,940,280,900","$1,370",,Connecticut,"$11,589,781,803",,Texas,"$9,516,766,233",,Missouri,"$8,579,226,757",,Arizona,"$7,295,752,562",,Connecticut,"$5,719,823,438",,Kentucky,"$6,917,086,417"
Florida,"$23,963,950",$1,,Virginia,"$33,273,223",,Arkansas,"$2,874,637",,Washington,"$115,043,824",,Kentucky,"$146,347,877",,Florida,"$330,400",,Washington,"$5,532,750"
Virginia,"$6,162,412",$1,,Hawaii,"$4,813,563",,Colorado,"$577,172",,California,"$36,582,024",,California,"$6,751,540",,Ohio,$0,,Georgia,"-$197,205"
Maryland,"$1,783,832",$0,,Washington,"$596,800",,,,,Maryland,"$11,414,365",,Maryland,"$673,397",,Illinois,$0,,,
Missouri,"$1,586,411",$0,,Vermont,"$31,723",,,,,Texas,"$10,269,280",,Alabama,$0,,,,,,
California,"$1,273,792",$0,,Georgia,$0,,,,,Oklahoma,"$2,891,382",,New York,$0,,,,,,
Ohio,"$386,667",$0,,Pennsylvania,$0,,,,,Ohio,"$38,988",,,,,,,,,
Georgia,$0,$0,,Rhode Island,"-$14,355",,,,,Florida,"-$6,957",,,,,,,,,
Arizona,$0,$0,,,,,,,,,,,,,,,,,,
Massachusetts,"-$69,514",$0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
